,City,Property_crime,Population,Murder,Robbery,Theft,MV,Arson,Asslt,Population^2
498,Snyder,486,11459,1,1,350,21,0,62,131308681
499,Socorro,459,32891,0,1,324,46,0,45,1081817881
500,Somerset,44,1703,0,1,21,6,0,2,2900209
501,Sonora,14,2866,0,0,9,2,0,9,8213956
502,Sour Lake,48,1782,0,1,39,2,0,4,3175524
503,South Houston,665,17445,0,1,361,175,4,43,304328025
504,Southlake,456,28062,1,1,365,13,1,11,787475844
505,Southmayd,28,994,0,1,14,4,1,3,988036
506,South Padre Island,616,2919,0,1,521,21,0,29,8520561
507,Southside Place,15,1775,0,0,14,0,0,0,3150625
508,Spearman,32,3292,1,0,23,1,0,0,10837264
509,Splendora,19,1667,0,1,10,3,0,5,2778889
510,Springtown,86,2698,0,0,66,3,0,16,7279204
511,Spring Valley,142,4009,0,1,113,6,0,5,16072081
512,Spur,4,1239,0,0,1,1,0,0,1535121
513,Stafford,703,18034,1,1,531,79,2,35,325225156
514,Stagecoach,8,561,0,0,0,0,0,0,314721
515,Stamford,95,2999,0,1,49,6,0,15,8994001
516,Stanton,30,2651,0,1,22,1,0,0,7027801
517,Stephenville,542,18595,1,1,419,18,2,20,345774025
518,Stratford,11,2069,0,0,6,0,0,2,4280761
519,Sugar Land,1613,83460,1,1,1311,46,3,66,-1624362992
520,Sullivan City,23,4122,0,1,7,0,0,2,16990884
521,Sulphur Springs,247,15613,1,1,186,10,2,15,243765769
522,Sunrise Beach Village,5,692,0,0,4,0,0,0,478864
523,Sunset Valley,121,696,0,1,120,0,0,0,484416
524,Sweeny,58,3739,0,1,38,2,1,10,13980121
525,Sweetwater,476,10604,0,1,332,25,1,60,112444816
526,Taft,52,3053,0,0,34,3,0,7,9320809
527,Tatum,58,1405,0,0,40,1,0,7,1974025
528,Taylor,493,16317,0,1,393,7,2,21,266244489
529,Terrell,644,16233,1,1,423,43,4,54,263510289
530,Terrell Hills,88,5061,0,0,25,5,0,1,25613721
531,Texarkana,2300,37467,1,1,1725,105,27,235,1403776089
532,Texas City,1745,45793,1,1,1267,93,3,69,2096998849
533,The Colony,556,39903,0,1,407,35,6,35,1592249409
534,Thorndale,23,1293,0,0,15,1,0,2,1671849
535,Thrall,28,899,0,0,21,0,0,0,808201
536,Three Rivers,60,1887,1,0,39,2,0,24,3560769
537,Tioga,16,813,0,0,8,0,0,0,660969
538,Tomball,421,11029,0,1,333,24,0,16,121638841
539,Tool,47,2264,0,0,31,3,0,7,5125696
540,Trinity,67,2636,0,1,36,4,0,10,6948496
541,Trophy Club,109,10173,0,1,93,4,0,6,103489929
542,Troy,29,1723,0,0,10,1,0,4,2968729
543,Tulia,70,4964,0,1,46,0,0,7,24641296
544,Tye,30,1248,0,0,25,2,3,6,1557504
545,Tyler,4116,100033,1,1,3111,180,10,275,1416666497
546,Universal City,412,19344,1,1,271,33,4,39,374190336
547,University Park,296,24031,0,1,228,17,1,1,577488961
548,Uvalde,976,16218,0,1,804,20,5,89,263023524
549,Valley Mills,32,1187,0,0,22,0,0,1,1408969
550,Van,42,2644,1,0,27,0,0,2,6990736
551,Van Alstyne,26,3088,0,1,20,2,0,2,9535744
552,Venus,29,3105,0,0,20,2,1,4,9641025
553,Vernon,346,10703,0,1,239,21,6,29,114554209
554,Victoria,2479,64979,1,1,1908,64,15,284,-72696855
555,Vidor,520,10984,0,1,361,47,0,47,120648256
556,Waco,5422,127570,1,1,3751,163,42,311,-905764284
557,Waelder,17,1085,0,0,13,0,0,0,1177225
558,Wake Village,133,5446,0,1,87,1,1,6,29658916
559,Waller,94,2375,0,1,61,4,0,7,5640625
560,Wallis,21,1269,0,0,10,3,1,4,1610361
561,Watauga,459,24210,0,1,358,20,2,16,586124100
562,Waxahachie,1033,31530,1,1,832,41,3,20,994140900
563,Weatherford,660,26702,0,1,555,22,3,5,712996804
564,Webster,639,11116,1,1,496,61,0,16,123565456
565,Weimar,25,2128,0,0,19,1,0,2,4528384
566,Weslaco,2916,37248,1,1,2238,117,2,324,1387413504
567,West,20,2836,0,1,11,1,0,0,8042896
568,West Columbia,110,3907,0,1,78,3,0,11,15264649
569,West Orange,308,3463,0,1,274,8,0,6,11992369
570,Westover Hills,17,708,0,0,12,1,0,0,501264
571,West Tawakoni,14,1605,0,0,10,0,0,0,2576025
572,Westworth,181,2554,0,1,160,6,0,2,6522916
573,Wharton,381,8767,0,1,291,13,1,49,76860289
574,Whitehouse,77,7919,0,1,53,7,0,4,62710561
575,White Oak,93,6447,0,1,70,3,0,1,41563809
576,Whitesboro,63,3823,0,0,46,3,0,5,14615329
577,White Settlement,497,16703,0,1,361,38,2,16,278990209
578,Whitewright,36,1607,0,0,25,3,0,6,2582449
579,Whitney,80,2108,0,1,64,0,0,1,4443664
580,Wichita Falls,4558,104514,1,1,3277,286,0,241,-1961725692
581,Willow Park,44,4248,0,0,27,4,0,0,18045504
582,Wills Point,94,3504,0,1,37,1,0,0,12278016
583,Wilmer,149,3805,0,0,73,11,1,5,14478025
584,Windcrest,340,5617,0,1,299,18,3,6,31550689
585,Wink,3,980,0,0,2,0,1,0,960400
586,Winnsboro,74,3250,0,1,35,3,1,7,10562500
587,Winters,22,2539,0,1,11,1,0,3,6446521
588,Wolfforth,47,3983,0,0,38,1,0,12,15864289
589,Woodbranch,17,1344,0,0,16,0,0,1,1806336
590,Woodville,32,2531,0,1,19,0,0,2,6405961
591,Woodway,143,8626,0,1,121,2,0,5,74407876
592,Wortham,51,1044,0,0,37,2,0,1,1089936
593,Wylie,526,45138,1,1,433,18,0,19,2037439044
594,Yoakum,165,5927,0,1,79,7,0,5,35129329
595,Yorktown,52,2133,0,0,30,1,0,5,4549689
