,City,Property_crime,Population,Murder,Robbery,Theft,MV,Arson,Asslt,Population^2
151,Elgin,164,8259,1,1,103,11,0,17,68211081
152,Elsa,286,6493,0,1,208,16,3,16,42159049
153,Ennis,723,18679,0,1,578,22,5,51,348905041
154,Euless,1568,53236,0,1,1177,139,6,46,-1460895600
155,Everman,185,6276,0,1,121,9,0,23,39388176
156,Fairfield,30,2874,0,0,18,2,0,4,8259876
157,Fair Oaks Ranch,30,6437,0,0,13,2,0,1,41434969
158,Falfurrias,109,4919,1,1,56,0,0,7,24196561
159,Farmers Branch,1055,29609,0,1,749,106,3,29,876692881
160,Farmersville,120,3448,0,0,86,4,0,5,11888704
161,Farwell,14,1347,0,1,12,1,0,2,1814409
162,Ferris,59,2498,1,1,41,4,0,6,6240004
163,Flatonia,14,1398,0,0,11,2,0,1,1954404
164,Florence,5,1213,0,0,5,0,0,0,1471369
165,Floresville,273,6882,0,0,221,14,0,13,47361924
166,Flower Mound,491,68835,1,1,384,21,5,31,443289929
167,Floydada,60,2991,0,0,31,2,0,10,8946081
168,Forney,308,16257,0,1,184,33,1,13,264290049
169,Fort Stockton,316,8357,0,1,242,6,0,40,69839449
170,Frankston,47,1229,0,1,31,1,0,1,1510441
171,Fredericksburg,255,10768,0,1,195,3,0,6,115949824
172,Freeport,469,12090,0,1,323,24,3,18,146168100
173,Freer,88,2769,0,1,61,2,1,22,7667361
174,Friendswood,418,37226,0,1,313,17,0,8,1385775076
175,Friona,21,4066,0,0,12,1,0,1,16532356
176,Frisco,2507,131769,0,1,2075,58,15,57,183200177
177,Fulton,55,1417,0,1,28,2,0,1,2007889
178,Gainesville,898,16089,1,1,642,59,5,64,258855921
179,Galena Park,232,11097,0,1,146,27,1,4,123143409
180,Galveston,2335,48067,1,1,1707,189,6,84,-1984530807
181,Garden Ridge,29,3573,0,0,20,0,0,1,12766329
182,Garland,8371,235683,1,1,5671,647,30,218,-288098359
183,Gatesville,161,16072,0,1,109,13,1,15,258309184
184,Georgetown,767,53844,1,1,642,32,1,46,-1395790960
185,Giddings,167,4912,0,1,129,3,0,7,24127744
186,Gilmer,205,5104,1,1,172,11,0,31,26050816
187,Gladewater,312,6503,0,1,224,18,0,34,42289009
188,Glenn Heights,262,11853,0,1,144,13,1,25,140493609
189,Godley,18,1035,0,0,11,0,0,2,1071225
190,Gonzales,329,7324,1,1,255,5,0,82,53640976
191,Gorman,43,1071,0,0,23,2,1,3,1147041
192,Graham,386,8773,0,1,293,14,1,14,76965529
193,Granbury,589,8464,0,0,518,13,0,13,71639296
194,Grand Prairie,5158,183822,1,1,3448,590,16,291,-569210684
195,Grand Saline,76,3114,0,0,55,0,0,2,9696996
196,Granger,4,1501,0,0,2,0,0,1,2253001
197,Granite Shoals,54,4945,1,0,29,9,2,5,24453025
198,Grapeland,26,1439,0,0,16,0,0,2,2070721
199,Grapevine,1554,49075,1,1,1270,102,2,60,-1886611671
200,Greenville,1279,25895,0,1,948,65,5,133,670551025
201,Gregory,28,1914,0,1,16,3,0,0,3663396
202,Groesbeck,53,4348,0,0,35,3,0,2,18905104
203,Groves,523,15725,0,1,364,29,0,54,247275625
204,Gun Barrel City,199,5785,1,0,134,15,0,10,33466225
205,Hale Center,62,2246,0,0,26,1,1,5,5044516
206,Hallettsville,61,2592,0,1,42,4,0,14,6718464
207,Hallsville,46,3924,0,0,32,2,0,8,15397776
208,Haltom City,1455,43676,1,1,943,121,7,63,1907592976
209,Hamlin,48,2037,0,0,34,2,1,19,4149369
210,Harker Heights,950,28125,0,1,687,37,1,57,791015625
211,Harlingen,2584,65885,1,1,2012,76,11,182,45865929
212,Haskell,18,3323,0,0,9,1,0,3,11042329
213,Hawkins,47,1282,0,0,27,4,0,0,1643524
214,Hawley,17,610,0,0,6,2,0,1,372100
215,Hearne,114,4443,0,1,81,2,1,43,19740249
216,Heath,55,7733,0,0,49,1,0,1,59799289
217,Hedwig Village,208,2643,0,1,175,14,0,2,6985449
218,Helotes,116,8054,0,1,94,3,0,1,64866916
219,Hemphill,34,1200,0,0,25,4,0,1,1440000
220,Hempstead,219,6187,0,1,134,13,0,10,38278969
221,Henderson,647,13837,1,1,545,25,2,81,191462569
222,Hereford,474,15327,0,1,283,18,2,40,234916929
223,Hewitt,127,13944,1,1,90,7,0,11,194435136
224,Hickory Creek,108,3493,0,1,97,9,0,3,12201049
225,Highland Park,160,8900,0,1,116,11,0,1,79210000
226,Highland Village,112,15754,0,0,99,1,0,8,248188516
227,Hill Country Village,41,1016,0,0,32,3,0,0,1032256
228,Hillsboro,343,8377,0,1,282,11,1,24,70174129
229,Hitchcock,234,7250,1,1,129,23,0,21,52562500
230,Hollywood Park,76,3168,0,0,62,1,0,0,10036224
231,Hondo,234,8925,0,1,198,6,0,16,79655625
232,Hooks,38,2731,1,1,22,1,0,4,7458361
233,Horizon City,266,19439,0,1,187,20,2,9,377874721
234,Horseshoe Bay,75,3334,0,0,57,6,0,4,11115556
235,Howe,18,2602,0,0,10,2,0,5,6770404
236,Hubbard,15,1416,0,0,9,2,0,0,2005056
237,Hudson,86,4750,0,1,56,0,0,26,22562500
238,Hughes Springs,18,1727,0,0,2,1,2,1,2982529
239,Humble,1624,15473,0,1,1239,112,1,38,239413729
240,Huntington,44,2102,0,0,27,2,0,1,4418404
241,Huntsville,1078,39990,0,1,798,39,0,169,1599200100
242,Hurst,1978,38456,1,1,1700,56,2,151,1478863936
243,Hutchins,192,5439,0,1,122,28,1,5,29582721
244,Hutto,164,19513,0,1,131,5,1,1,380757169
245,Idalou,20,2264,0,0,11,1,0,6,5125696
246,Ingleside,270,9541,1,1,175,21,5,25,91030681
247,Ingram,52,1805,0,0,40,2,0,2,3258025
248,Iowa Park,63,6408,0,1,40,1,2,10,41062464
249,Irving,6175,228367,1,1,4444,594,17,318,611879137
250,Jacksboro,102,4487,0,1,61,3,0,12,20133169
251,Jacksonville,601,14816,0,1,431,12,8,87,219513856
252,Jamaica Beach,1,1006,0,0,0,0,0,0,1012036
253,Jarrell,11,1051,0,0,10,1,0,0,1104601
254,Jasper,484,7702,0,1,404,1,1,22,59320804
255,Jefferson,60,2057,0,1,42,2,0,12,4231249
256,Jersey Village,218,7845,0,1,158,16,2,29,61544025
257,Johnson City,10,1733,0,0,9,0,0,2,3003289
258,Jones Creek,2,2067,0,0,2,0,0,0,4272489
259,Jonestown,43,2024,0,1,35,1,0,7,4096576
260,Joshua,102,5966,0,0,69,8,1,14,35593156
261,Jourdanton,4,4111,0,0,4,0,0,2,16900321
262,Junction,36,2539,0,0,25,0,0,6,6446521
263,Karnes City,76,3201,0,0,55,1,0,6,10246401
264,Katy,490,14837,1,1,398,29,1,17,220136569
265,Kaufman,123,6865,1,1,68,7,0,6,47128225
266,Keene,109,6071,0,0,77,6,2,4,36857041
267,Keller,390,42644,1,1,312,2,0,12,1818510736
268,Kenedy,219,3423,0,0,152,3,0,8,11716929
269,Kennedale,177,7156,0,1,117,20,0,5,51208336
270,Kermit,31,5956,0,0,19,6,0,18,35473936
271,Kerrville,669,22484,1,1,555,24,0,30,505530256
272,Kilgore,660,13938,1,1,510,34,2,37,194267844
273,Killeen,4791,136539,1,1,3189,206,50,499,1463029337
274,Kingsville,963,26198,1,1,658,24,2,80,686335204
275,Kirby,188,8288,1,1,118,20,2,42,68690944
276,Kirbyville,32,2158,0,0,20,3,0,5,4656964
277,Kountze,46,2088,0,1,32,1,0,10,4359744
278,Kress,2,721,0,0,2,0,0,0,519841
279,Kyle,491,31732,0,1,384,32,1,72,1006919824
280,Lacy-Lakeview,247,6566,0,1,161,14,2,26,43112356
281,La Feria,305,7340,0,1,207,0,0,2,53875600
282,Lago Vista,85,6550,1,1,69,0,0,11,42902500
283,La Grange,58,4656,1,0,36,7,0,3,21678336
284,La Grulla,9,1639,0,0,1,0,0,5,2686321
285,Laguna Vista,48,3179,0,0,31,2,0,4,10106041
286,La Joya,27,4153,0,0,4,0,0,6,17247409
287,Lake Dallas,142,7390,0,0,106,12,1,14,54612100
288,Lake Jackson,589,27273,1,1,445,19,2,18,743816529
289,Lakeside,29,1357,0,1,15,2,0,6,1841449
290,"Lakeview, Harris County",71,6413,1,0,52,3,4,9,41126569
291,Lakeway,166,12815,0,1,131,10,0,12,164224225
292,Lake Worth,527,4710,0,1,387,16,0,6,22184100
293,La Marque,960,14976,1,1,748,51,3,38,224280576
294,Lamesa,414,9136,0,1,298,20,3,38,83466496
295,Lampasas,286,6899,0,1,232,6,1,15,47596201
296,Lancaster,1533,38209,1,1,848,152,6,95,1459927681
297,La Porte,593,34671,0,1,433,43,7,19,1202078241
298,Laredo,10482,247353,1,1,8685,372,82,742,1053964465
299,La Vernia,44,1137,0,0,42,0,0,3,1292769
300,La Villa,17,1978,0,0,3,1,0,0,3912484
301,Lavon,17,2318,0,0,14,0,0,1,5373124
302,League City,1918,89596,1,1,1476,56,1,58,-562491376
303,Leander,336,30657,0,1,277,15,2,20,939851649
304,Leon Valley,826,10833,0,1,670,65,0,10,117353889
305,Levelland,546,13681,0,1,362,24,1,46,187169761
306,Lewisville,2721,100710,1,1,1921,299,4,120,1552569508
307,Lexington,61,1170,0,0,46,0,0,4,1368900
308,Liberty,553,8857,1,1,447,14,1,28,78446449
309,Lindale,186,5257,0,1,132,9,0,8,27636049
310,Linden,52,1964,0,1,34,1,0,3,3857296
311,Little Elm,346,29958,1,1,255,13,2,22,897481764
312,Littlefield,239,6368,0,1,143,3,5,24,40551424
313,Live Oak,680,14541,1,1,580,52,1,27,211440681
314,Livingston,309,5207,0,1,262,10,1,31,27112849
315,Llano,77,3249,0,0,43,5,1,0,10556001
316,Lockhart,425,12971,1,1,322,12,1,32,168246841
317,Lone Star,61,1553,0,1,43,2,0,3,2411809
318,Longview,3372,81273,1,1,2542,200,11,255,-1984634063
319,Lorena,28,1709,0,0,20,2,0,1,2920681
320,Lorenzo,8,1180,0,0,1,0,0,2,1392400
321,Los Fresnos,158,5800,0,0,106,5,1,4,33640000
322,Lubbock,11557,237875,1,1,8103,846,37,1348,749940777
323,Luling,108,5612,0,1,85,5,0,21,31494544
324,Lumberton,244,12081,0,1,193,5,0,14,145950561
325,Lyford,44,2611,0,0,22,4,0,1,6817321
326,Lytle,176,2665,0,0,153,4,2,0,7102225
327,Madisonville,113,4452,0,1,81,9,0,15,19820304
328,Magnolia,43,1490,0,1,31,3,0,5,2220100
329,Malakoff,62,2327,0,0,38,5,0,13,5414929
330,Manor,95,6137,0,0,68,5,1,12,37662769
331,Mansfield,1042,60179,1,1,812,49,0,40,-673455255
332,Manvel,110,6381,0,0,44,12,0,6,40717161
333,Marble Falls,362,6095,0,1,313,9,1,15,37149025
334,Marlin,47,5847,0,1,26,3,1,13,34187409
335,Marshall,1078,25169,1,1,792,44,8,104,633478561
336,Martindale,6,1145,0,0,1,1,0,4,1311025
337,Mathis,135,4989,0,0,85,6,0,23,24890121
338,McAllen,5424,136169,1,1,4652,236,15,80,1362127377
339,McGregor,76,5036,0,1,60,2,0,5,25361296
340,McKinney,3055,146869,1,1,2450,129,26,110,95666681
341,Meadows Place,126,4721,0,1,93,10,0,3,22287841
342,Melissa,65,5839,1,0,41,4,0,0,34093921
343,Memorial Villages,113,11660,0,1,81,6,0,1,135955600
344,Memphis,25,2232,0,0,15,2,0,5,4981824
345,Mercedes,796,16480,0,1,623,41,1,88,271590400
346,Meridian,1,1484,0,0,1,0,0,0,2202256
347,Merkel,34,2608,0,0,18,2,0,5,6801664
348,Mesquite,6332,144313,1,1,4184,766,11,178,-648594511
349,Mexia,328,7544,1,1,248,3,1,33,56911936
350,Midland,3191,122259,1,1,2459,164,1,260,2062361193
351,Midlothian,361,19425,0,1,275,16,1,17,377330625
352,Mineola,188,4485,0,1,154,3,0,16,20115225
353,Mineral Wells,872,16717,0,1,610,41,2,34,279458089
354,Mission,2945,81360,0,1,2321,177,20,36,-1970484992
355,Missouri City,1151,69487,0,1,889,76,0,32,533475873
356,Monahans,185,7163,0,1,127,1,3,26,51308569
357,Mont Belvieu,121,4366,0,1,84,25,0,6,19061956
358,Montgomery,16,670,0,0,10,1,0,1,448900
359,Morgans Point Resort,40,4257,0,0,26,0,0,2,18122049
360,Moulton,10,898,0,0,7,0,0,1,806404
361,Mount Pleasant,661,16101,0,1,486,20,7,33,259242201
362,Muleshoe,51,5121,0,0,39,2,0,4,26224641
363,Munday,10,1331,0,0,6,1,0,2,1771561
364,Murphy,122,19347,0,1,111,0,0,3,374306409
365,Mustang Ridge,16,939,0,0,10,2,0,0,881721
366,Nacogdoches,1126,34413,1,1,828,41,2,62,1184254569
367,Naples,50,1357,0,0,18,1,0,1,1841449
368,Nash,67,3076,0,0,39,3,1,9,9461776
369,Nassau Bay,101,4092,0,1,77,6,0,13,16744464
370,Navasota,219,7239,0,1,143,23,2,74,52403121
371,Nederland,493,17464,1,1,349,32,3,41,304991296
372,Needville,22,2879,0,0,15,1,0,10,8288641
373,New Boston,221,4507,0,1,161,7,0,7,20313049
374,New Braunfels,2153,61651,1,1,1673,129,11,104,-494121495
375,Nocona,25,2996,0,1,13,3,0,0,8976016
376,Nolanville,76,4483,0,1,55,0,1,21,20097289
377,Northlake,36,1897,0,0,27,3,1,6,3598609
378,North Richland Hills,1637,65899,1,1,1276,78,3,100,47710905
379,Oak Ridge,0,168,0,0,0,0,0,2,28224
380,Odessa,4374,108265,1,1,3147,463,13,879,-1163591663
381,O'Donnell,2,809,0,0,0,2,0,0,654481
382,Olmos Park,52,2314,0,1,41,4,0,0,5354596
383,Olney,40,3221,0,0,30,1,2,3,10374841
384,Olton,21,2234,0,0,10,0,0,8,4990756
385,Omaha,21,1012,0,1,10,1,0,1,1024144
